Country;year;ppm
Cyprus;1974;2142
Czech Republic;1974;166230
Denmark;1974;52882
Djibouti;1974;961
Dominica;1974;27
Dominican Republic;1974;5414
Ecuador;1974;6498
Egypt;1974;32105
El Salvador;1974;2062
Equatorial Guinea;1974;38
Eritrea;1974;172
Estonia;1974;50715
Ethiopia;1974;1021
Fiji;1974;694
Finland;1974;45388
France;1974;512368
French Guiana;1974;257
French Polynesia;1974;155
Gabon;1974;2808
Gambia;1974;93
Georgia;1974;48827
Germany;1974;1118066
Ghana;1974;2726
Greece;1974;38672
Greenland;1974;2
Grenada;1974;34
Guadeloupe;1974;361
Guam;1974;6
Guatemala;1974;3003
Guinea;1974;629
Guyana;1974;1187
Haiti;1974;593
Honduras;1974;1366
Hong Kong;1974;11406
Hungary;1974;76800
Iceland;1974;2549
India;1974;258361
Indonesia;1974;45672
Iran;1974;123381
Iraq;1974;36307
Ireland;1974;24468
Israel;1974;17204
Italy;1974;369068
Jamaica;1974;8191
Japan;1974;988728
Jordan;1974;2116
Kazakhstan;1974;122121
Kenya;1974;4847
Kiribati;1974;9
Kuwait;1974;38379
Kyrgyzstan;1974;10543
Latvia;1974;40615
Lebanon;1974;7528
Lesotho;1974;97
Liberia;1974;1215
Lithuania;1974;101853
Luxembourg;1974;16884
Madagascar;1974;759
Malawi;1974;324
Malaysia;1974;17700
Mali;1974;267
Malta;1974;762
Martinique;1974;532
Mauritania;1974;412
Mauritius;1974;492
Mexico;1974;153778
Mongolia;1974;1621
Montserrat;1974;13
Morocco;1974;10072
Mozambique;1974;2977
Namibia;1974;346
Nepal;1974;477
Netherlands;1974;150256
New Caledonia;1974;1575
New Zealand;1974;19390
Nicaragua;1974;2033
Niger;1974;332
Nigeria;1974;60767
Norway;1974;37299
Oman;1974;6955
Pakistan;1974;21104
Panama;1974;3251
Papua New Guinea;1974;1376
Paraguay;1974;778
Peru;1974;20750
Philippines;1974;28413
Poland;1974;377559
Portugal;1974;20198
Puerto Rico;1974;949
Qatar;1974;11558
Reunion;1974;370
Romania;1974;143669
Russia;1974;1695595
Rwanda;1974;93
Samoa;1974;42
Saudi Arabia;1974;100579
Senegal;1974;1655
Seychelles;1974;141
Sierra Leone;1974;447
Singapore;1974;9350
Slovakia;1974;46476
Slovenia;1974;9699
Solomon Islands;1974;52
Somalia;1974;557
South Africa;1974;220822
Spain;1974;174399
Sri Lanka;1974;3400
Sudan;1974;4508
Suriname;1974;1779
Swaziland;1974;299
Sweden;1974;83447
Switzerland;1974;42480
Taiwan;1974;44343
Tajikistan;1974;3246
Tanzania;1974;1741
Thailand;1974;24256
Togo;1974;343
Tonga;1974;17
Tunisia;1974;5276
Turkey;1974;64846
Turkmenistan;1974;21129
Uganda;1974;492
Ukraine;1974;475668
United Arab Emirates;1974;34575
United Kingdom;1974;639897
United States;1974;4739445
Uruguay;1974;5369
Uzbekistan;1974;70811
Venezuela;1974;68266
Vietnam;1974;15894
Western Sahara;1974;101
Yemen;1974;2187
Zambia;1974;4557
Zimbabwe;1974;10124
Afghanistan;1975;904
Albania;1975;5037
Algeria;1975;33310
American Samoa;1975;7
Angola;1975;9588
Argentina;1975;91198
Armenia;1975;9133
Aruba;1975;31
Australia;1975;190600
Austria;1975;56242
Azerbaijan;1975;31202
Bahamas;1975;4272
Bahrain;1975;5538
Bangladesh;1975;4937
Barbados;1975;695
Belarus;1975;92903
Belgium;1975;127782
Belize;1975;185
Benin;1975;556
Bhutan;1975;53
Bolivia;1975;4139
Botswana;1975;614
Brazil;1975;151319
Bulgaria;1975;76958
Burkina Faso;1975;282
Burundi;1975;108
Cambodia;1975;59
Cameroon;1975;1722
Canada;1975;398374
Cape Verde;1975;162
Cayman Islands;1975;94
Central African Republic;1975;164
Chad;1975;125
Chile;1975;24146
China;1975;1226499
Colombia;1975;34287
Comoros;1975;28
Congo;1975;2764
Costa Rica;1975;1977
Croatia;1975;22668
Cuba;1975;28104
Cyprus;1975;2184
Czech Republic;1975;173140
Denmark;1975;55144
Djibouti;1975;964
Dominica;1975;30
Dominican Republic;1975;5605
Ecuador;1975;7194
Egypt;1975;34411
El Salvador;1975;2316
Equatorial Guinea;1975;39
Eritrea;1975;157
Estonia;1975;52350
Ethiopia;1975;874
Fiji;1975;627
Finland;1975;45588
France;1975;473189
French Guiana;1975;349
French Polynesia;1975;147
Gabon;1975;3628
Gambia;1975;98
Georgia;1975;44738
Germany;1975;1058280
Ghana;1975;2909
Greece;1975;40641
Greenland;1975;2
Grenada;1975;42
Guadeloupe;1975;455
Guam;1975;6
Guatemala;1975;3300
Guinea;1975;643
Guyana;1975;1564
Haiti;1975;601
Honduras;1975;1478
Hong Kong;1975;11292
Hungary;1975;78598
Iceland;1975;2392
India;1975;275587
Indonesia;1975;47501
Iran;1975;126866
Iraq;1975;39172
Ireland;1975;22868
Israel;1975;18033
Italy;1975;351778
Jamaica;1975;7808
Japan;1975;937329
Jordan;1975;2402
Kazakhstan;1975;113352
Kenya;1975;4928
Kiribati;1975;8
Kuwait;1975;33145
Kyrgyzstan;1975;9979
Latvia;1975;40448
Lebanon;1975;6711
Lesotho;1975;102
Liberia;1975;1251
Lithuania;1975;93947
Luxembourg;1975;13438
Madagascar;1975;790
Malawi;1975;365
Malaysia;1975;18986
Mali;1975;281
Malta;1975;687
Martinique;1975;680
Mauritania;1975;426
Mauritius;1975;494
Mexico;1975;162113
Mongolia;1975;1668
Montserrat;1975;16
Morocco;1975;10812
Mozambique;1975;2592
Namibia;1975;348
Nepal;1975;397
Netherlands;1975;141392
New Caledonia;1975;1572
New Zealand;1975;18310
Nicaragua;1975;2007
Niger;1975;345
Nigeria;1975;47582
Norway;1975;36724
Oman;1975;23122
Pakistan;1975;23363
Panama;1975;3355
Papua New Guinea;1975;1312
Paraguay;1975;830
Peru;1975;20906
Philippines;1975;31303
Poland;1975;395205
Portugal;1975;21802
Puerto Rico;1975;806
Qatar;1975;12283
Reunion;1975;382
Romania;1975;154985
Russia;1975;1835977
Rwanda;1975;96
Samoa;1975;38
Saudi Arabia;1975;83673
Senegal;1975;1812
Seychelles;1975;143
Sierra Leone;1975;457
Singapore;1975;9386
Slovakia;1975;47884
Slovenia;1975;10291
Solomon Islands;1975;46
Somalia;1975;581
South Africa;1975;236644
Spain;1975;180433
Sri Lanka;1975;2991
Sudan;1975;3526
Suriname;1975;2189
Swaziland;1975;349
Sweden;1975;85088
Switzerland;1975;40059
Taiwan;1975;48014
Tajikistan;1975;2149
Tanzania;1975;1629
Thailand;1975;24501
Togo;1975;396
Tonga;1975;18
Tunisia;1975;5391
Turkey;1975;70193
Turkmenistan;1975;8079
Uganda;1975;481
Ukraine;1975;498019
United Arab Emirates;1975;35201
United Kingdom;1975;619079
United States;1975;4527609
Uruguay;1975;5705
